"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2015-10-16","11.86",,"0.00","0.0","55","61","50","  270","  290","21.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-17","11.86",,"0.00","0.0","51","56","40","  270","  300","23.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-18","11.41",,"0.00","0.0","41","47","33","  340","  340","21.9","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-19","10.74",,"0.00","0.0","38","48","31","  210","  220","17.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-20","11.63",,"0.00","0.0","53","66","45","  260","  250","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-21","6.26",,"0.07","0.0","58","61","53","   70","   50","13.0","16.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-10-22","10.96",,"0.00","0.0","60","73","52","  220","  230","23.9","29.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-10-23","13.42",,"0.00","0.0","54","59","40","  320","  330","25.9","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-24","5.82",,"0.00","0.0","43","49","38","  360","   10","13.0","16.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-25","11.63",,"0.03","0.0","54","63","48","  330","  330","23.9","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-26","8.50",,"0.00","0.0","49","52","43","  320","  330","18.1","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-27","5.82",,"0.00","0.0","46","54","38","  130","  280","12.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-28","17.00",,"0.36","0.0","49","65","42","  160","  150","29.1","40.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-10-29","17.00",,"0.73","0.0","67","75","57","  200","  200","29.1","38.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-10-30","12.97",,"0.00","0.0","56","61","42","  270","  270","23.0","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-10-31","6.93",,"0.00","0.0","45","52","38","  220","  220","13.0","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-01","10.74",,"0.00","0.0","53","62","48","  210","  220","21.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-02","7.16",,"0.00","0.0","57","64","51","  250","  260","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-03","7.61",,"0.00","0.0","57","73","47","  260","  250","16.1","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-04","6.71",,"0.00","0.0","57","60","49","  200","  200","13.0","16.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-05","11.86",,"0.00","0.0","61","76","50","  240","  250","21.9","31.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-06","14.54",,"0.00","0.0","67","73","62","  210","  210","25.9","32.0",,,,,,,"    1",
"USW00014739","BOSTON, MA US","2015-11-07","13.20",,"0.00","0.0","62","69","50","  300","  290","25.1","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-08","11.41",,"0.00","0.0","51","56","44","  300","  280","18.1","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-09","8.95",,"0.00","0.0","51","60","41","  240","  250","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-10","7.61",,"0.07","0.0","49","53","44","   30","   30","17.0","21.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-11","16.11",,"0.54","0.0","48","50","46","   10","   20","25.1","33.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-12","7.38",,"0.04","0.0","47","57","46","  160","  160","18.1","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-13","17.90",,"0.01","0.0","54","59","46","  260","  260","29.1","38.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-14","16.11",,"0.00","0.0","45","47","37","  290","  290","31.1","42.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-15","9.62",,"0.00","0.0","43","54","37","  260","  250","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-16","10.74",,"0.00","0.0","53","61","39","  360","  360","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-17","6.71",,"0.00","0.0","40","45","33","   10","   10","14.1","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-18","6.26",,"0.00","0.0","40","48","31","  130","  150","15.0","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-19","8.95",,"0.00","0.0","47","55","43","  130","  140","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-20","12.75",,"0.86","0.0","56","61","44","  150","  160","25.1","29.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-21","7.61",,"0.00","0.0","44","48","38","   70","   40","13.0","16.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-22","7.16",,"0.30","0.0","43","49","36","  320","  320","19.9","25.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-23","13.42",,"0.04","0.0","40","42","30","  290","  300","21.9","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-24","8.05",,"0.00","0.0","35","44","29","  260","  270","15.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-25","6.04",,"0.00","0.0","39","44","30","  160","  130","14.1","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-11-26","9.62",,"0.00","0.0","46","59","38","  190","  170","21.9","28.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-27","14.32",,"0.00","0.0","54","64","48","  220","  230","25.9","32.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-28","9.62",,"0.21","0.0","52","60","41","   30","  240","18.1","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-11-29","9.62",,"0.00","0.0","38","44","32","  340","  350","16.1","19.9",,,,,,,"    1",
"USW00014739","BOSTON, MA US","2015-11-30","8.72",,"0.00","0.0","33","38","28","  350","  360","14.1","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-01","6.04",,"0.14","0.0","38","45","32","  120","  120","15.0","17.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-02","3.80",,"0.32","0.0","43","51","39","  300","  300","13.0","15.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-12-03","14.09",,"0.00","0.0","48","52","41","  280","  290","30.0","40.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-12-04","10.74",,"0.00","0.0","43","48","38","  300","  300","19.9","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-05","6.71",,"0.00","0.0","44","53","39","  290","  280","13.0","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-06","8.05",,"0.00","0.0","44","59","36","  230","  280","14.1","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-07","7.38",,"0.00","0.0","45","56","37","   40","   50","21.9","28.0","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2015-12-08","10.51",,"0.00","0.0","42","44","37","   40","   40","21.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-09","7.61",,"0.00","0.0","40","46","37","  160","  140","18.1","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-10","4.92",,"0.00","0.0","48","58","43","  150","  150","19.9","21.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-11","7.83",,"0.00","0.0","49","58","43","  220","  250","18.1","23.9","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-12-12","7.16",,"0.00","0.0","53","61","49","  260","  260","16.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-13","6.71",,"0.00","0.0","51","53","46","  110","  110","16.1","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-14","4.25",,"0.42","0.0","47","58","46","  150","  100","12.1","14.1","    1",,,,,,,
